00001-0	1690	2	-1764
00002-0	1690	2	-1697
00003-0	1690	2	-1630
00004-0	1690	2	-1552
00005-0	1690	2	-1485
00006-0	1690	2	-1418
00007-0	1690	2	-1340
00008-0	1690	2	-1273
00009-0	1690	2	-1206
00010-0	1690	2	-1128
00011-0	1690	2	-1061
00012-0	1690	2	-993
00013-0	1690	2	-915
00014-0	1690	2	-848
00015-0	1690	2	-781
00016-0	1690	2	-703
00017-0	1690	2	-636
00018-0	1690	2	-569
00019-0	1690	2	-491
00020-0	1690	2	-424
00021-0	1690	2	-357
00022-0	1690	2	-279
00023-0	1690	2	-212
00024-0	1690	2	-145
00025-0	1690	2	-67
00026-0	1690	2	0
00027-0	1690	2	67
00028-0	1690	2	145
00029-0	1690	2	212
00030-0	1690	2	279
00031-0	1690	2	357
00032-0	1690	2	424
00033-0	1690	2	491
00034-0	1690	2	569
00035-0	1690	2	636
00036-0	1690	2	703
00037-0	1690	2	781
00038-0	1690	2	848
00039-0	1690	2	915
00040-0	1690	2	993
00041-0	1690	2	1061
00042-0	1690	2	1128
00043-0	1690	2	1206
00044-0	1690	2	1273
00045-0	1690	2	1340
00046-0	1690	2	1418
00047-0	1690	2	1485
00048-0	1690	2	1552
00049-0	1690	2	1630
00050-0	1690	2	1697
00051-0	1690	2	1764
00052-0	1689	71	-1764
00053-0	1689	71	-1697
00054-0	1689	71	-1630
00055-0	1689	71	-1552
00056-0	1689	71	-1485
00057-0	1689	71	-1418
00058-0	1689	71	-1340
00059-0	1689	71	-1273
00060-0	1689	71	-1206
00061-0	1689	71	-1128
00062-0	1689	71	-1061
00063-0	1689	71	-993
00064-0	1689	71	-915
00065-0	1689	71	-848
00066-0	1689	71	-781
00067-0	1689	71	-703
00068-0	1689	71	-636
00069-0	1689	71	-569
00070-0	1689	71	-491
00071-0	1689	71	-424
00072-0	1689	71	-357
00073-0	1689	71	-279
00074-0	1689	71	-212
00075-0	1689	71	-145
00076-0	1689	71	-67
00077-0	1689	71	0
00078-0	1689	71	67
00079-0	1689	71	145
00080-0	1689	71	212
00081-0	1689	71	279
00082-0	1689	71	357
00083-0	1689	71	424
00084-0	1689	71	491
00085-0	1689	71	569
00086-0	1689	71	636
00087-0	1689	71	703
00088-0	1689	71	781
00089-0	1689	71	848
00090-0	1689	71	915
00091-0	1689	71	993
00092-0	1689	71	1061
00093-0	1689	71	1128
00094-0	1689	71	1206
00095-0	1689	71	1273
00096-0	1689	71	1340
00097-0	1689	71	1418
00098-0	1689	71	1485
00099-0	1689	71	1552
00100-0	1689	71	1630
00101-0	1689	71	1697
00102-0	1689	71	1764
00103-0	1684	141	-1764
00104-0	1684	141	-1697
00105-0	1684	141	-1630
00106-0	1684	141	-1552
00107-0	1684	141	-1485
00108-0	1684	141	-1418
00109-0	1684	141	-1340
00110-0	1684	141	-1273
00111-0	1684	141	-1206
00112-0	1684	141	-1128
00113-0	1684	141	-1061
00114-0	1684	141	-993
00115-0	1684	141	-915
00116-0	1684	141	-848
00117-0	1684	141	-781
00118-0	1684	141	-703
00119-0	1684	141	-636
00120-0	1684	141	-569
00121-0	1684	141	-491
00122-0	1684	141	-424
00123-0	1684	141	-357
00124-0	1684	141	-279
00125-0	1684	141	-212
00126-0	1684	141	-145
00127-0	1684	141	-67
00128-0	1684	141	0
00129-0	1684	141	67
00130-0	1684	141	145
00131-0	1684	141	212
00132-0	1684	141	279
00133-0	1684	141	357
00134-0	1684	141	424
00135-0	1684	141	491
00136-0	1684	141	569
00137-0	1684	141	636
00138-0	1684	141	703
00139-0	1684	141	781
00140-0	1684	141	848
00141-0	1684	141	915
00142-0	1684	141	993
00143-0	1684	141	1061
00144-0	1684	141	1128
00145-0	1684	141	1206
00146-0	1684	141	1273
00147-0	1684	141	1340
00148-0	1684	141	1418
00149-0	1684	141	1485
00150-0	1684	141	1552
00151-0	1684	141	1630
00152-0	1684	141	1697
00153-0	1684	141	1764
00154-0	1677	210	-1764
00155-0	1677	210	-1697
00156-0	1677	210	-1630
00157-0	1677	210	-1552
00158-0	1677	210	-1485
00159-0	1677	210	-1418
00160-0	1677	210	-1340
00161-0	1677	210	-1273
00162-0	1677	210	-1206
00163-0	1677	210	-1128
00164-0	1677	210	-1061
00165-0	1677	210	-993
00166-0	1677	210	-915
00167-0	1677	210	-848
00168-0	1677	210	-781
00169-0	1677	210	-703
00170-0	1677	210	-636
00171-0	1677	210	-569
00172-0	1677	210	-491
