1	3550.351096985	35.994573923	-2461.237333333	-0.999188998	-0.04026594	0	1
2	3550.351096985	35.994573923	-2388.848	-0.999188998	-0.04026594	0	1
3	3550.351096985	35.994573923	-2316.458666667	-0.999188998	-0.04026594	0	1
4	3547.478985396	107.265287916	-2461.237333333	-0.999188998	-0.04026594	0	1
5	3547.478985396	107.265287916	-2388.848	-0.999188998	-0.04026594	0	1
6	3547.478985396	107.265287916	-2316.458666667	-0.999188998	-0.04026594	0	1
7	3544.606873807	178.53600191	-2461.237333333	-0.999188998	-0.04026594	0	1
8	3544.606873807	178.53600191	-2388.848	-0.999188998	-0.04026594	0	1
9	3544.606873807	178.53600191	-2316.458666667	-0.999188998	-0.04026594	0	1
10	3541.734762218	249.806715904	-2461.237333333	-0.999188998	-0.04026594	0	1
11	3541.734762218	249.806715904	-2388.848	-0.999188998	-0.04026594	0	1
12	3541.734762218	249.806715904	-2316.458666667	-0.999188998	-0.04026594	0	1
13	3535.942042506	321.562425124	-2461.237333333	-0.992708874	-0.12053668	0	1
14	3535.942042506	321.562425124	-2388.848	-0.992708874	-0.12053668	0	1
15	3535.942042506	321.562425124	-2316.458666667	-0.992708874	-0.12053668	0	1
16	3527.344334484	392.370921189	-2461.237333333	-0.992708874	-0.12053668	0	1
17	3527.344334484	392.370921189	-2388.848	-0.992708874	-0.12053668	0	1
18	3527.344334484	392.370921189	-2316.458666667	-0.992708874	-0.12053668	0	1
19	3518.746626463	463.179417254	-2461.237333333	-0.992708874	-0.12053668	0	1
20	3518.746626463	463.179417254	-2388.848	-0.992708874	-0.12053668	0	1
21	3518.746626463	463.179417254	-2316.458666667	-0.992708874	-0.12053668	0	1
22	3510.148918442	533.987913318	-2461.237333333	-0.992708874	-0.12053668	0	1
23	3510.148918442	533.987913318	-2388.848	-0.992708874	-0.12053668	0	1
24	3510.148918442	533.987913318	-2316.458666667	-0.992708874	-0.12053668	0	1
25	3498.601047029	605.044820606	-2461.237333333	-0.979790652	-0.200025694	0	1
26	3498.601047029	605.044820606	-2388.848	-0.979790652	-0.200025694	0	1
27	3498.601047029	605.044820606	-2316.458666667	-0.979790652	-0.200025694	0	1
28	3484.333502011	674.931878473	-2461.237333333	-0.979790652	-0.200025694	0	1
29	3484.333502011	674.931878473	-2388.848	-0.979790652	-0.200025694	0	1
30	3484.333502011	674.931878473	-2316.458666667	-0.979790652	-0.200025694	0	1
31	3470.065956993	744.81893634	-2461.237333333	-0.979790652	-0.200025694	0	1
32	3470.065956993	744.81893634	-2388.848	-0.979790652	-0.200025694	0	1
33	3470.065956993	744.81893634	-2316.458666667	-0.979790652	-0.200025694	0	1
34	3455.798411976	814.705994207	-2461.237333333	-0.979790652	-0.200025694	0	1
35	3455.798411976	814.705994207	-2388.848	-0.979790652	-0.200025694	0	1
36	3455.798411976	814.705994207	-2316.458666667	-0.979790652	-0.200025694	0	1
37	3438.570281238	884.603268251	-2461.237333333	-0.960518112	-0.278217464	0	1
38	3438.570281238	884.603268251	-2388.848	-0.960518112	-0.278217464	0	1
39	3438.570281238	884.603268251	-2316.458666667	-0.960518112	-0.278217464	0	1
40	3418.725429728	953.115643532	-2461.237333333	-0.960518112	-0.278217464	0	1
41	3418.725429728	953.115643532	-2388.848	-0.960518112	-0.278217464	0	1
42	3418.725429728	953.115643532	-2316.458666667	-0.960518112	-0.278217464	0	1
43	3398.880578218	1021.628018814	-2461.237333333	-0.960518112	-0.278217464	0	1
44	3398.880578218	1021.628018814	-2388.848	-0.960518112	-0.278217464	0	1
45	3398.880578218	1021.628018814	-2316.458666667	-0.960518112	-0.278217464	0	1
46	3379.035726709	1090.140394095	-2461.237333333	-0.960518112	-0.278217464	0	1
47	3379.035726709	1090.140394095	-2388.848	-0.960518112	-0.278217464	0	1
48	3379.035726709	1090.140394095	-2316.458666667	-0.960518112	-0.278217464	0	1
49	3356.239067685	1158.424724251	-2461.237333333	-0.935016243	-0.354604887	0	1
50	3356.239067685	1158.424724251	-2388.848	-0.935016243	-0.354604887	0	1
51	3356.239067685	1158.424724251	-2316.458666667	-0.935016243	-0.354604887	0	1
52	3330.94561116	1225.118087903	-2461.237333333	-0.935016243	-0.354604887	0	1
53	3330.94561116	1225.118087903	-2388.848	-0.935016243	-0.354604887	0	1
54	3330.94561116	1225.118087903	-2316.458666667	-0.935016243	-0.354604887	0	1
55	3305.652154636	1291.811451554	-2461.237333333	-0.935016243	-0.354604887	0	1
56	3305.652154636	1291.811451554	-2388.848	-0.935016243	-0.354604887	0	1
57	3305.652154636	1291.811451554	-2316.458666667	-0.935016243	-0.354604887	0	1
58	3280.358698111	1358.504815206	-2461.237333333	-0.935016243	-0.354604887	0	1
59	3280.358698111	1358.504815206	-2388.848	-0.935016243	-0.354604887	0	1
60	3280.358698111	1358.504815206	-2316.458666667	-0.935016243	-0.354604887	0	1
61	3252.141355884	1424.73335139	-2461.237333333	-0.903450435	-0.428692561	0	1
62	3252.141355884	1424.73335139	-2388.848	-0.903450435	-0.428692561	0	1
63	3252.141355884	1424.73335139	-2316.458666667	-0.903450435	-0.428692561	0	1
64	3221.563332115	1489.175171356	-2461.237333333	-0.903450435	-0.428692561	0	1
65	3221.563332115	1489.175171356	-2388.848	-0.903450435	-0.428692561	0	1
66	3221.563332115	1489.175171356	-2316.458666667	-0.903450435	-0.428692561	0	1
67	3190.985308347	1553.616991323	-2461.237333333	-0.903450435	-0.428692561	0	1
68	3190.985308347	1553.616991323	-2388.848	-0.903450435	-0.428692561	0	1
